nomor,kode,nama,kelompok,tipe,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
1,GP053,Abon haruwan,Buah,Mentah (Raw),11.6 g,513 Kal,23.7 g,37.0 g,21.3 g,6.4 g,25 mg,25 mg,0.5 mg,61 mg,15.0 mg,0.00 mg,0.2 mg,,,,,,,,
2,GP054,Abon ikan,Ikan/Kerang/Udang dll,Olahan (Processed),6.4 g,435 Kal,27.2 g,20.2 g,36.1 g,10.1 g,,,,,,,,0.80 mg,24.3 mg,,,,,,
3,DR001,"Akar tonjong, segar (Lotus root, fresh)",Sayuran,Mentah (Raw),86.7 g,45 Kal,1.1 g,0.4 g,10.8 g,1.0 g,72 mg,125 mg,1.3 mg,96 mg,"1,147.1 mg",0.02 mg,0.2 mg,0.03 mg,1.9 mg,1.2 g,0 mcg,83 mcg,90 mcg,0.02 mg,2 mg
4,DR002,"Ale,toge, segar",Sayuran,Mentah (Raw),90.6 g,37 Kal,4.4 g,0.5 g,3.8 g,0.7 g,50 mg,248 mg,2.0 mg,2 mg,105.0 mg,0.16 mg,0.4 mg,0.09 mg,0.6 mg,1.7 g,0 mcg,0 mcg,35 mcg,0.02 mg,46 mg
5,ER001,"Alpukat, segar (Avocado, fresh)",Buah,Mentah (Raw),84.3 g,85 Kal,0.9 g,6.5 g,7.7 g,0.6 g,10 mg,20 mg,0.9 mg,2 mg,278.0 mg,0.20 mg,0.4 mg,0.08 mg,1.0 mg,,,189 mcg,180 mcg,0.05 mg,13 mg
6,AP026,Amparan tatak,Serealia,Olahan (Processed),58.4 g,191 Kal,1.3 g,5.5 g,34.0 g,0.8 g,,,,,,,,,,,,,,,
7,CP015,Ampas kacang hijau,Kacang-Kacangan,Olahan (Processed),70.6 g,96 Kal,3.7 g,0.6 g,19.1 g,0.6 g,133 mg,150 mg,1.3 mg,,,,,,,2.7 g,,,,0.05 mg,
8,CP017,Ampas tahu kukus,Kacang-Kacangan,Olahan (Processed),82.5 g,75 Kal,4.1 g,2.1 g,10.7 g,0.6 g,203 mg,60 mg,1.3 mg,,,,,,,5.1 g,,0 mcg,,0.07 mg,
9,CP018,"Ampas tahu, kering",Kacang-Kacangan,Olahan (Processed),9.0 g,414 Kal,26.6 g,18.3 g,41.3 g,5.8 g,19 mg,29 mg,4.0 mg,45 mg,"1,055.7 mg",0.99 mg,2.8 mg,0.10 mg,0.5 mg,0.0 g,0 mcg,24 mcg,,0.20 mg,0 mg
10,CP016,"Ampas tahu, mentah",Kacang-Kacangan,Olahan (Processed),84.1 g,67 Kal,5.0 g,2.1 g,8.1 g,0.6 g,460 mg,88 mg,1.0 mg,8 mg,184.5 mg,0.17 mg,0.5 mg,0.02 mg,0.1 mg,4.1 g,,0 mcg,,0.06 mg,
