ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
1,0% Fat Yogurt Strawberry,Elle & Vire,1.0,pot (125 g),51.0,,,7.6,,4.0,0.1,0.0,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1% Lemak Susu,Keju & Susu,1.0,gelas,102.0,,,12.18,,8.22,2.37,1.545,0.085,0.676,,12.0,0.0,,,12.69,,,,,,,,,,,,,,,,,,,,,,107.0,366.0,,,,,,,,,,,,
3,1/3 PB Hazelnut,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1/3 PB Matcha,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1/3 PB Original,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1/3 PB Speculoos,Lean Lab,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1/3 Pb Chocolate,Lean Lab,2.0,sendok makan (13 g),50.0,,,8.0,,4.0,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
8,100 Plus,F&N,100.0,ml,20.0,,,4.9,,0.0,0.0,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
9,2% Lemak Susu,Keju & Susu,100.0,gram (g),50.0,,,4.68,,3.3,1.97,1.257,0.073,0.56,,8.0,0.0,,,5.06,,,,,,,,,,,,,,,,,,,,,,41.0,150.0,,,,,,,,,,,,
10,3 in 1 Neopolitana,Wall's,100.0,ml,90.0,,,14.0,,1.0,3.0,2.5,,,,,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
