ID;Nama Makanan;Kategori;Jumlah Sajian;Per Sajian;Energi;Energi dari lemak;Energi dari lemak jenuh;Karbohidrat total;Karbohidrat lain;Protein;Lemak total;Lemak jenuh;Lemak tidak jenuh ganda;Lemak tidak jenuh tunggal;Lemak trans;Kolesterol;Serat pangan;Serat pangan larut;Serat pangan tidak larut;Gula;Gula alkohol;Air;Abu;Vitamin A;B0Karoten;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B12;Folat;Biotin;Kolin;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Kalsium;Fosfor;Magnesium;Natrium;Kalium;Besi;Seng;Tembaga;Mangan;Iodium;Selenium;Fluor;Kromium;L0Karnitin;Myo0Inositol;Asam linoleat;Asam a0linolenat
1955;A &W root beer;A & W Restaurant;1;570 ml;290 kkal;0;0;78 g;0;0 g;0 g;0;0;0;0;0;0 g;0;0;75 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1960;A &W Beef burger;A&W;1;127 g;342 kkal;0;0;39 g;0;13 g;16 g;0;0;0;0;0;1 g;0;0;8 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1957;A &W Burger cheeseburger;A&W;1;144 g;398 kkal;0;0;39 g;0;15 g;21 g;0;0;0;0;0;1 g;0;0;9 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1956;A &W burger mozza;A&W;1;266 g;550 kkal;0;0;43 g;0;25 g;33 g;0;0;0;0;0;2 g;0;0;12 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1959;A &W Jumbo chicken sandwich;A&W;1;213 g;550 kkal;0;0;52 g;0;30 g;25 g;0;0;0;0;0;5 g;0;0;6 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1958;A &W Root beer float;A&W;1;570 ml;350 kkal;0;0;77 g;0;2 g;5 g;0;0;0;0;0;0 g;0;0;64 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2220;Susu Ensure;Abbot Indonesia;1;230 ml;230 kkal;0;0;31 g;0;9 g;7 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2252;Es krim Aice Blueberry Yoghurt;Aice group holdings Pte. Ltd;1;65 ml;90 kkal;0;0;15 g;0;1 g;2.50 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
995;Abon haruwan;Alami;1;100 g;513 kkal;0;0;21.30 g;0;23.70 g;37 g;0;0;0;0;0;0 g;0;0;0;0;11.60 g;6.40 g;0 mcg;0 mcg;0 mg;0 mg;0 mg;0;0;0;0;0;0;0 mg;0;0;0;25 mg;25 mg;0;61 mg;15 mg;0.50 mg;0.20 mg;0 mcg;0;0;0;0;0;0;0;0;0
996;Abon ikan;Alami;1;100 g;435 kkal;0;0;36.10 g;0;27.20 g;20.20 g;0;0;0;0;0;0 g;0;0;0;0;6.40 g;10.10 g;0 mcg;0 mcg;0 mg;0.80 mg;24.30 mg;0;0;0;0;0;0;0 mg;0;0;0;0 mg;0 mg;0;0 mg;0 mg;0 mg;0 mg;0 mcg;0;0;0;0;0;0;0;0;0
